Id	Monster	BattleTime	FirstAwards	Awards	NextLevel
1149	1001149	20	4#454	14#204000|3#82000	1150
1150	1001150	20	4#454	14#204000|3#82000	1151
1151	1001151	20	4#454	14#204000|3#82000	1152
1152	1001152	20	4#454	14#204000|3#82000	1153
1153	1001153	20	4#454	14#204000|3#82000	1154
1154	1001154	20	4#454	14#204000|3#82000	1155
1155	1001155	20	4#454	14#204000|3#82000	1156
1156	1001156	20	4#454	14#204000|3#82000	1157
1157	1001157	20	4#454	14#204000|3#82000	1158
1158	1001158	20	4#454	14#204000|3#82000	1159
1159	1001159	20	4#454	14#204000|3#82000	1160
1160	1001160	20	4#454	14#204000|3#82000	1161
1161	1001161	20	4#454	14#204000|3#82000	1162
1162	1001162	20	4#454	14#204000|3#82000	1163
1163	1001163	20	4#454	14#204000|3#82000	1164
1164	1001164	20	4#454	14#204000|3#82000	1165
1165	1001165	20	4#454	14#204000|3#82000	1166
1166	1001166	20	4#454	14#204000|3#82000	1167
1167	1001167	20	4#454	14#204000|3#82000	1168
1168	1001168	20	4#454	14#204000|3#82000	1169
1169	1001169	20	4#454	14#204000|3#82000	1170
1170	1001170	20	4#454	14#204000|3#82000	1171
1171	1001171	20	4#454	14#204000|3#82000	1172
1172	1001172	20	4#454	14#204000|3#82000	1173
1173	1001173	20	4#454	14#204000|3#82000	1174
1174	1001174	20	4#454	14#204000|3#82000	1175
1175	1001175	20	4#454	14#204000|3#82000	1176
1176	1001176	20	4#454	14#204000|3#82000	1177
1177	1001177	20	4#454	14#204000|3#82000	1178
1178	1001178	20	4#454	14#204000|3#82000	1179
1179	1001179	20	4#454	14#204000|3#82000	1180
1180	1001180	20	4#454	14#204000|3#82000	1181
1181	1001181	20	4#454	14#204000|3#82000	1182
1182	1001182	20	4#454	14#204000|3#82000	1183
1183	1001183	20	4#454	14#204000|3#82000	1184
1184	1001184	20	4#454	14#204000|3#82000	1185
1185	1001185	20	4#454	14#204000|3#82000	1186
1186	1001186	20	4#454	14#204000|3#82000	1187
1187	1001187	20	4#454	14#204000|3#82000	1188
1188	1001188	20	4#454	14#204000|3#82000	1189
1189	1001189	20	4#454	14#204000|3#82000	1190
1190	1001190	20	4#454	14#204000|3#82000	1191
1191	1001191	20	4#454	14#204000|3#82000	1192
1192	1001192	20	4#454	14#204000|3#82000	1193
1193	1001193	20	4#454	14#204000|3#82000	1194
1194	1001194	20	4#454	14#204000|3#82000	1195
1195	1001195	20	4#454	14#204000|3#82000	1196
1196	1001196	20	4#454	14#204000|3#82000	1197
1197	1001197	20	4#454	14#204000|3#82000	1198
1198	1001198	20	4#454	14#204000|3#82000	1199
1199	1001199	20	4#454	14#204000|3#82000	1200
1200	1001200	20	4#454	14#204000|3#82000	1201
1201	1001201	20	4#454	14#204000|3#82000	1202
1202	1001202	20	4#454	14#204000|3#82000	1203
1203	1001203	20	4#454	14#204000|3#82000	1204
1204	1001204	20	4#454	14#204000|3#82000	1205
1205	1001205	20	4#454	14#204000|3#82000	1206
1206	1001206	20	4#454	14#204000|3#82000	1207
1207	1001207	20	4#454	14#204000|3#82000	1208
1208	1001208	20	4#454	14#204000|3#82000	1209
1209	1001209	20	4#454	14#204000|3#82000	1210
1210	1001210	20	4#454	14#204000|3#82000	1211
1211	1001211	20	4#454	14#204000|3#82000	1212
1212	1001212	20	4#454	14#204000|3#82000	1213
1213	1001213	20	4#454	14#204000|3#82000	1214
1214	1001214	20	4#454	14#204000|3#82000	1215
1215	1001215	20	4#454	14#204000|3#82000	1216
1216	1001216	20	4#454	14#204000|3#82000	1217
1217	1001217	20	4#454	14#204000|3#82000	1218
1218	1001218	20	4#454	14#204000|3#82000	1219
1219	1001219	20	4#454	14#204000|3#82000	1220
1220	1001220	20	4#454	14#204000|3#82000	1221
1221	1001221	20	4#454	14#204000|3#82000	1222
1222	1001222	20	4#454	14#204000|3#82000	1223
1223	1001223	20	4#454	14#204000|3#82000	1224
1224	1001224	20	4#454	14#204000|3#82000	1225
1225	1001225	20	4#454	14#204000|3#82000	1226
1226	1001226	20	4#454	14#204000|3#82000	1227
1227	1001227	20	4#454	14#204000|3#82000	1228
1228	1001228	20	4#454	14#204000|3#82000	1229
1229	1001229	20	4#454	14#204000|3#82000	1230
1230	1001230	20	4#454	14#204000|3#82000	1231
1231	1001231	20	4#454	14#204000|3#82000	1232
1232	1001232	20	4#454	14#204000|3#82000	1233
1233	1001233	20	4#454	14#204000|3#82000	1234
1234	1001234	20	4#454	14#204000|3#82000	1235
1235	1001235	20	4#454	14#204000|3#82000	1236
1236	1001236	20	4#454	14#204000|3#82000	1237
1237	1001237	20	4#454	14#204000|3#82000	1238
1238	1001238	20	4#454	14#204000|3#82000	1239
1239	1001239	20	4#454	14#204000|3#82000	1240
1240	1001240	20	4#454	14#204000|3#82000	1241
1241	1001241	20	4#454	14#204000|3#82000	1242
1242	1001242	20	4#454	14#204000|3#82000	1243
1243	1001243	20	4#454	14#204000|3#82000	1244
1244	1001244	20	4#454	14#204000|3#82000	1245
1245	1001245	20	4#454	14#204000|3#82000	1246
1246	1001246	20	4#454	14#204000|3#82000	1247
1247	1001247	20	4#454	14#204000|3#82000	1248
1248	1001248	20	4#454	14#204000|3#82000	1249
1249	1001249	20	4#454	14#204000|3#82000	1250
1250	1001250	20	4#454	14#204000|3#82000	1251
1251	1001251	20	4#454	14#204000|3#82000	1252
1252	1001252	20	4#454	14#204000|3#82000	1253
1253	1001253	20	4#454	14#204000|3#82000	1254
1254	1001254	20	4#454	14#204000|3#82000	1255
1255	1001255	20	4#454	14#204000|3#82000	1256
1256	1001256	20	4#454	14#204000|3#82000	1257
1257	1001257	20	4#454	14#204000|3#82000	1258
1258	1001258	20	4#454	14#204000|3#82000	1259
1259	1001259	20	4#454	14#204000|3#82000	1260
1260	1001260	20	4#454	14#204000|3#82000	1261
1261	1001261	20	4#454	14#204000|3#82000	1262
1262	1001262	20	4#454	14#204000|3#82000	1263
1263	1001263	20	4#454	14#204000|3#82000	1264
1264	1001264	20	4#454	14#204000|3#82000	1265
1265	1001265	20	4#454	14#204000|3#82000	1266
1266	1001266	20	4#454	14#204000|3#82000	1267
1267	1001267	20	4#454	14#204000|3#82000	1268
1268	1001268	20	4#454	14#204000|3#82000	1269
1269	1001269	20	4#454	14#204000|3#82000	1270
1270	1001270	20	4#454	14#204000|3#82000	1271
1271	1001271	20	4#454	14#204000|3#82000	1272
1272	1001272	20	4#454	14#204000|3#82000	1273
1273	1001273	20	4#454	14#204000|3#82000	1274
1274	1001274	20	4#454	14#204000|3#82000	1275
1275	1001275	20	4#454	14#204000|3#82000	1276
1276	1001276	20	4#454	14#204000|3#82000	1277
1277	1001277	20	4#454	14#204000|3#82000	1278
1278	1001278	20	4#454	14#204000|3#82000	1279
1279	1001279	20	4#454	14#204000|3#82000	1280
1280	1001280	20	4#454	14#204000|3#82000	1281
1281	1001281	20	4#454	14#204000|3#82000	1282
1282	1001282	20	4#454	14#204000|3#82000	1283
1283	1001283	20	4#454	14#204000|3#82000	1284
1284	1001284	20	4#454	14#204000|3#82000	1285
1285	1001285	20	4#454	14#204000|3#82000	1286
1286	1001286	20	4#454	14#204000|3#82000	1287
1287	1001287	20	4#454	14#204000|3#82000	1288
1288	1001288	20	4#454	14#204000|3#82000	1289
1289	1001289	20	4#454	14#204000|3#82000	1290
1290	1001290	20	4#454	14#204000|3#82000	1291
1291	1001291	20	4#454	14#204000|3#82000	1292
1292	1001292	20	4#454	14#204000|3#82000	1293
1293	1001293	20	4#454	14#204000|3#82000	1294
1294	1001294	20	4#454	14#204000|3#82000	1295
1295	1001295	20	4#454	14#204000|3#82000	1296
1296	1001296	20	4#454	14#204000|3#82000	1297
1297	1001297	20	4#454	14#204000|3#82000	1298
1298	1001298	20	4#454	14#204000|3#82000	1299
1299	1001299	20	4#454	14#204000|3#82000	1300
1300	1001300	20	4#454	14#204000|3#82000	-1
